turn3Win%,turn11Win%
0.16544117647058823,0.40147058823529413
0.05705521472392638,0.4
0.18258064516129033,0.39548387096774196
0.8812903225806452,0.39419354838709675
0.5932885906040268,0.3912751677852349
0.4288461538461538,0.38974358974358975
0.29403973509933773,0.3894039735099338
0.2959731543624161,0.38791946308724834
0.65875,0.38625
0.5198757763975155,0.384472049689441
0.5102739726027398,0.3815068493150685
0.1344155844155844,0.37792207792207794
0.39872611464968155,0.37261146496815284
0.1375,0.3625
0.2786666666666667,0.362
0.37407407407407406,0.3617283950617284
0.16026490066225166,0.3609271523178808
0.8614285714285714,0.3557142857142857
0.13877551020408163,0.3517006802721088
0.5082278481012659,0.35
0.19424460431654678,0.34676258992805753
0.05131578947368421,0.3427631578947368
0.2642857142857143,0.3409090909090909
0.5133333333333333,0.3406666666666667
0.5587412587412588,0.34055944055944054
0.33918918918918917,0.33918918918918917
0.16423841059602648,0.3390728476821192
0.40324675324675324,0.33636363636363636
0.1738562091503268,0.3359477124183007
0.3392156862745098,0.33202614379084966
0.46158940397350995,0.3304635761589404
0.028873239436619718,0.3246478873239437
0.8136690647482014,0.32230215827338127
0.4444444444444444,0.3215277777777778
0.5509677419354839,0.32129032258064516
0.6060606060606061,0.3206060606060606
0.6081632653061224,0.3197278911564626
0.5461538461538461,0.31479289940828403
0.7440559440559441,0.3146853146853147
0.7805369127516778,0.31208053691275167
0.3695364238410596,0.30927152317880796
0.7659863945578231,0.3020408163265306
0.5926470588235294,0.2985294117647059
0.6822695035460993,0.29645390070921984
0.3099290780141844,0.29645390070921984
0.7735849056603774,0.2962264150943396
0.31883116883116885,0.29545454545454547
0.25163398692810457,0.29150326797385623
0.1727891156462585,0.2904761904761905
0.586624203821656,0.289171974522293
0.0636986301369863,0.2876712328767123
0.7814285714285715,0.28714285714285714
0.661963190184049,0.2865030674846626
0.606,0.2853333333333333
0.391304347826087,0.2811594202898551
0.5472392638036809,0.27975460122699386
0.577037037037037,0.2785185185185185
0.8611464968152867,0.278343949044586
0.6129251700680272,0.27755102040816326
0.5478260869565217,0.2753623188405797
0.49733333333333335,0.27266666666666667
0.8986842105263158,0.26776315789473687
0.16993006993006993,0.2601398601398601
0.20753424657534247,0.2547945205479452
0.3988165680473373,0.2485207100591716
0.4083916083916084,0.24545454545454545
0.3171232876712329,0.24452054794520547
0.23472222222222222,0.2388888888888889
0.38758169934640524,0.23006535947712417
0.116,0.22466666666666665
0.8857142857142857,0.22448979591836735
0.2437908496732026,0.2196078431372549
0.06375838926174497,0.2181208053691275
0.14066666666666666,0.21266666666666667
0.31,0.21066666666666667
0.6619718309859155,0.2084507042253521
0.2993377483443709,0.20662251655629138
0.39025974025974025,0.2064935064935065
0.5540880503144654,0.20628930817610064
0.7329032258064516,0.20387096774193547
0.7967532467532468,0.20324675324675326
0.46875,0.20125
0.3476510067114094,0.2
0.28625,0.19875
0.10774193548387097,0.19806451612903225
0.10748299319727891,0.19727891156462585
0.2936708860759494,0.1930379746835443
0.36942675159235666,0.1821656050955414
0.30196078431372547,0.17450980392156862
0.495,0.174375
0.9046666666666666,0.17266666666666666
0.75,0.16956521739130434
0.11788079470198676,0.16688741721854305
0.24713375796178344,0.16560509554140126
0.5875816993464053,0.165359477124183
0.6232394366197183,0.1563380281690141
0.2980392156862745,0.15098039215686274
0.5211180124223602,0.14596273291925466
0.5644927536231884,0.14565217391304347
0.17852348993288591,0.1436241610738255
0.4318181818181818,0.14155844155844155
0.33975155279503105,0.13788819875776398
0.6761290322580645,0.13548387096774195
0.8335570469798658,0.1348993288590604
0.4470198675496689,0.13311258278145696
0.5565517241379311,0.12689655172413794
0.1251700680272109,0.12653061224489795
0.13108108108108107,0.12635135135135134
0.554375,0.1225
0.5512658227848102,0.11392405063291139
0.20909090909090908,0.11188811188811189
0.7232704402515723,0.10754716981132076
0.769620253164557,0.10063291139240506
0.06490066225165562,0.08013245033112583
0.9067901234567901,0.07901234567901234
0.655483870967742,0.07548387096774194
0.37446808510638296,0.07446808510638298
0.16083916083916083,0.055944055944055944
0.36298701298701297,0.04350649350649351
0.5544827586206896,0.032413793103448274
0.7531468531468531,0.028671328671328673
0.0993006993006993,0.021678321678321677
0.1905109489051095,0.021167883211678833
0.15,0.012337662337662338
0.47828947368421054,0
0.794047619047619,0
